AT4G34460,AT2G45140
AT1G15130,AT4G29160
AT1G18080,AT3G08690
AT4G28780,AT4G35580
AT3G16240,AT4G35580
AT1G17970,AT3G09630
AT1G67865,AT3G43230
AT5G03240,AT3G53420
AT4G03410,AT4G26450
AT1G66430,AT3G47620
AT4G20940,AT1G29060
AT5G03240,AT1G02560
AT1G71830,AT4G39400
AT2G33250,AT4G23010
AT3G16830,AT2G45660
AT2G39050,AT5G62200
AT3G54850,AT5G65495
AT4G36850,AT4G37680
AT4G11220,AT4G19370
AT1G62200,AT4G37680
AT1G76540,AT5G06150
AT5G03240,AT1G19570
AT1G66820,AT3G53900
AT1G70700,AT3G43440
AT3G60245,AT5G03240
AT2G28000,AT3G48750
AT1G32100,AT4G18390
AT4G21980,AT4G24690
AT4G14400,AT3G12580
AT3G61890,AT2G39030
AT1G19570,AT2G31790
AT4G23400,AT4G37680
AT2G16440,AT5G44635
AT1G52200,AT3G02150
AT2G39100,AT5G61010
AT5G03240,AT4G25100
AT1G48040,AT4G13530
AT3G07110,AT5G03240
AT3G48750,AT3G09390
AT5G03240,AT1G63940
AT5G13220,AT4G17880
